,red,blue,green,scaled_red,scaled_blue,scaled_green
0,10,15,9,0.134338,0.179734,0.126269
1,14,49,36,0.188074,0.587133,0.505076
2,55,125,103,0.738862,1.497787,1.445077
3,35,129,98,0.470185,1.545716,1.374928
4,38,134,101,0.510486,1.605628,1.417017
5,46,132,101,0.617957,1.581663,1.417017
6,49,132,105,0.658259,1.581663,1.473137
7,39,126,101,0.52392,1.509769,1.417017
8,33,128,98,0.443317,1.533734,1.374928
9,38,139,100,0.510486,1.665539,1.402988
10,54,150,109,0.725428,1.797344,1.529256
11,49,140,101,0.658259,1.677521,1.417017
12,45,132,98,0.604523,1.581663,1.374928
13,51,136,106,0.685126,1.629592,1.487167
14,49,133,102,0.658259,1.593645,1.431047
15,52,134,103,0.69856,1.605628,1.445077
16,33,129,115,0.443317,1.545716,1.613436
17,32,118,99,0.429883,1.413911,1.388958
18,47,122,97,0.631391,1.46184,1.360898
19,47,122,97,0.631391,1.46184,1.360898
20,36,123,101,0.483619,1.473822,1.417017
21,33,128,110,0.443317,1.533734,1.543286
22,28,122,103,0.376148,1.46184,1.445077
23,38,123,100,0.510486,1.473822,1.402988
24,54,134,105,0.725428,1.605628,1.473137
25,46,126,97,0.617957,1.509769,1.360898
26,34,120,94,0.456751,1.437876,1.318808
27,39,130,107,0.52392,1.557699,1.501197
28,39,130,107,0.52392,1.557699,1.501197
29,38,129,102,0.510486,1.545716,1.431047
30,46,134,106,0.617957,1.605628,1.487167
31,54,139,109,0.725428,1.665539,1.529256
32,44,125,107,0.591089,1.497787,1.501197
33,47,134,104,0.631391,1.605628,1.459107
34,51,143,100,0.685126,1.713468,1.402988
35,54,147,98,0.725428,1.761398,1.374928
36,52,143,99,0.69856,1.713468,1.388958
37,51,136,101,0.685126,1.629592,1.417017
38,48,134,103,0.644825,1.605628,1.445077
39,48,136,102,0.644825,1.629592,1.431047
40,36,131,89,0.483619,1.569681,1.248659
41,49,148,101,0.658259,1.77338,1.417017
42,53,144,105,0.711994,1.725451,1.473137
43,38,106,83,0.510486,1.270123,1.16448
44,0,18,11,0.0,0.215681,0.154329
45,25,17,22,0.335846,0.203699,0.308657
46,50,7,16,0.671692,0.083876,0.224478
47,83,19,26,1.115009,0.227664,0.364777
48,95,15,25,1.276216,0.179734,0.350747
49,95,20,24,1.276216,0.239646,0.336717
50,98,24,22,1.316517,0.287575,0.308657
51,105,20,19,1.410554,0.239646,0.266568
52,111,13,18,1.491157,0.15577,0.252538
53,108,8,20,1.450856,0.095858,0.280598
54,100,11,24,1.343385,0.131805,0.336717
55,90,17,28,1.209046,0.203699,0.392837
56,84,11,22,1.128443,0.131805,0.308657
57,98,12,26,1.316517,0.143788,0.364777
58,107,10,20,1.437422,0.119823,0.280598
59,100,5,11,1.343385,0.059911,0.154329
60,97,15,16,1.303083,0.179734,0.224478
61,99,29,29,1.329951,0.347487,0.406866
62,92,26,31,1.235914,0.31154,0.434926
63,79,10,23,1.061274,0.119823,0.322687
64,88,22,24,1.182179,0.263611,0.336717
65,85,20,26,1.141877,0.239646,0.364777
66,84,16,27,1.128443,0.191717,0.378807
67,82,16,28,1.101575,0.191717,0.392837
68,85,18,26,1.141877,0.215681,0.364777
69,89,22,24,1.195612,0.263611,0.336717
70,95,24,20,1.276216,0.287575,0.280598
71,100,24,18,1.343385,0.287575,0.252538
72,105,23,20,1.410554,0.275593,0.280598
73,97,10,14,1.303083,0.119823,0.196418
74,93,2,15,1.249348,0.023965,0.210448
75,104,15,33,1.39712,0.179734,0.462986
76,96,12,27,1.289649,0.143788,0.378807
77,95,18,24,1.276216,0.215681,0.336717
78,92,22,17,1.235914,0.263611,0.238508
79,93,28,15,1.249348,0.335504,0.210448
80,92,19,28,1.235914,0.227664,0.392837
81,98,15,24,1.316517,0.179734,0.336717
82,100,16,21,1.343385,0.191717,0.294627
83,95,20,21,1.276216,0.239646,0.294627
84,98,22,19,1.316517,0.263611,0.266568
85,111,16,15,1.491157,0.191717,0.210448
86,119,11,14,1.598628,0.131805,0.196418
87,101,23,23,1.356819,0.275593,0.322687
88,53,28,22,0.711994,0.335504,0.308657
89,27,29,22,0.362714,0.347487,0.308657
90,1,10,0,0.013434,0.119823,0.0
91,44,85,70,0.591089,1.018495,0.982091
92,133,219,193,1.786702,2.624123,2.707766
93,122,237,202,1.638929,2.839804,2.834035
94,113,234,197,1.518025,2.803857,2.763885
95,115,229,193,1.544892,2.743946,2.707766
96,117,225,193,1.57176,2.696017,2.707766
97,115,229,200,1.544892,2.743946,2.805975
98,107,231,200,1.437422,2.76791,2.805975
99,103,230,193,1.383686,2.755928,2.707766
100,114,239,197,1.531459,2.863769,2.763885
101,114,231,192,1.531459,2.76791,2.693736
102,107,221,185,1.437422,2.648087,2.595527
103,110,225,193,1.477723,2.696017,2.707766
104,112,228,197,1.504591,2.731964,2.763885
105,114,233,200,1.531459,2.791875,2.805975
106,107,225,198,1.437422,2.696017,2.777915
107,116,227,197,1.558326,2.719981,2.763885
108,122,225,193,1.638929,2.696017,2.707766
109,112,217,185,1.504591,2.600158,2.595527
110,102,214,190,1.370252,2.564211,2.665676
111,105,226,206,1.410554,2.707999,2.890154
112,99,220,200,1.329951,2.636105,2.805975
113,99,216,194,1.329951,2.588176,2.721796
114,105,217,193,1.410554,2.600158,2.707766
115,105,219,195,1.410554,2.624123,2.735826
116,105,222,200,1.410554,2.66007,2.805975
117,112,231,206,1.504591,2.76791,2.890154
118,105,219,192,1.410554,2.624123,2.693736
119,109,222,192,1.464289,2.66007,2.693736
120,112,225,195,1.504591,2.696017,2.735826
121,105,221,190,1.410554,2.648087,2.665676
122,106,213,198,1.423988,2.552229,2.777915
123,109,220,195,1.464289,2.636105,2.735826
124,112,229,192,1.504591,2.743946,2.693736
125,113,234,190,1.518025,2.803857,2.665676
126,112,230,191,1.504591,2.755928,2.679706
127,109,223,194,1.464289,2.672052,2.721796
128,108,218,196,1.450856,2.612141,2.749856
129,109,222,195,1.464289,2.66007,2.735826
130,109,226,192,1.464289,2.707999,2.693736
131,116,231,191,1.558326,2.76791,2.679706
132,133,236,201,1.786702,2.827822,2.820005
133,101,177,156,1.356819,2.120866,2.188661
134,0,17,11,0.0,0.203699,0.154329
135,6,0,0,0.080603,0.0,0.0
136,82,32,37,1.101575,0.383433,0.519105
137,160,86,91,2.149416,1.030477,1.276719
138,178,76,78,2.391225,0.910655,1.09433
139,178,80,78,2.391225,0.958584,1.09433
140,181,83,76,2.431526,0.994531,1.066271
141,187,80,74,2.512129,0.958584,1.038211
142,191,73,73,2.565865,0.874708,1.024181
143,189,71,74,2.538997,0.850743,1.038211
144,181,73,78,2.431526,0.874708,1.09433
145,172,78,81,2.310622,0.934619,1.13642
146,173,77,79,2.324056,0.922637,1.10836
147,179,71,76,2.404659,0.850743,1.066271
148,190,72,75,2.552431,0.862725,1.052241
149,188,71,69,2.525563,0.850743,0.968061
150,184,77,71,2.471828,0.922637,0.996121
151,180,83,76,2.418093,0.994531,1.066271
152,181,85,82,2.431526,1.018495,1.15045
153,170,71,75,2.283754,0.850743,1.052241
154,175,76,77,2.350923,0.910655,1.0803
155,173,74,78,2.324056,0.88669,1.09433
156,172,72,79,2.310622,0.862725,1.10836
157,170,72,80,2.283754,0.862725,1.12239
