,x_coordinate,y_coordinate,x_scaled,y_scaled
0,33.875528,44.893421,2.209458,2.977524
1,38.208748,41.116327,2.492083,2.727011
2,35.740588,57.418006,2.331103,3.808208
3,32.546963,57.218082,2.122806,3.794948
4,62.063146,47.196944,4.047935,3.130303
5,53.769684,35.951959,3.507012,2.384488
6,32.49035,42.021854,2.119113,2.787069
7,55.325202,52.548322,3.608467,3.485229
8,68.102542,52.312125,4.441841,3.469564
9,53.283124,31.636287,3.475277,2.098254
10,67.71803,47.605248,4.416762,3.157384
11,32.845503,54.234961,2.142277,3.597095
12,61.780834,60.824988,4.029522,4.034173
13,62.072467,65.235587,4.048543,4.326703
14,37.24231,48.237577,2.429049,3.199322
15,48.392797,67.524565,3.156316,4.478518
16,35.489788,54.102114,2.314745,3.588284
17,65.608546,51.851351,4.279176,3.439003
18,38.028884,39.828177,2.480352,2.641575
19,65.493675,44.283869,4.271684,2.937096
20,41.603724,60.213488,2.713513,3.993616
21,48.413985,45.355138,3.157698,3.008147
22,41.81967,35.810661,2.727598,2.375116
23,51.769183,56.959922,3.376533,3.777826
24,45.179951,61.056737,2.946765,4.049544
25,38.022186,44.34557,2.479915,2.941188
26,56.371852,49.533711,3.676733,3.285287
27,52.052504,57.766018,3.395012,3.831289
28,44.243736,41.742757,2.885702,2.768558
29,40.332812,52.077429,2.630621,3.453998
30,53.596576,55.587012,3.495721,3.686768
31,45.872653,43.816297,2.991945,2.906084
32,54.000012,61.466908,3.522034,4.076748
33,52.688688,44.377592,3.436506,2.943312
34,53.254229,44.722751,3.473392,2.966204
35,63.542126,47.982255,4.144398,3.182388
36,65.388846,47.736901,4.264847,3.166115
37,49.73312,46.049824,3.243736,3.054221
38,48.580805,56.787084,3.168578,3.766362
39,48.030007,56.603803,3.132654,3.754206
40,44.667125,61.716042,2.913317,4.093272
41,65.309359,56.527816,4.259662,3.749166
42,40.585848,45.813171,2.647124,3.038525
43,43.935338,49.107769,2.865588,3.257037
44,32.87375,41.145056,2.144119,2.728916
45,43.176386,64.845957,2.816087,4.300861
46,61.447355,62.46952,4.007771,4.143246
47,47.902126,58.299125,3.124313,3.866647
48,47.572751,48.533208,3.10283,3.21893
49,50.652216,48.794677,3.303682,3.236272
50,45.446521,40.658211,2.964151,2.696626
51,48.177572,30.466588,3.142278,2.020674
52,50.11893,65.18054,3.268899,4.323052
53,37.330826,41.730007,2.434823,2.767712
54,53.286058,69.243218,3.475468,4.592506
55,32.606017,56.00107,2.126657,3.71423
56,46.595457,39.637381,3.039088,2.628921
57,54.914132,38.404587,3.581656,2.547156
58,61.187582,39.639152,3.990828,2.629038
59,62.256238,38.739571,4.060529,2.569374
60,47.807103,36.009969,3.118115,2.388335
61,65.442652,45.62729,4.268356,3.026197
62,36.174465,57.170207,2.359401,3.791773
63,60.903398,51.3213,3.972293,3.403848
64,44.238117,40.898805,2.885336,2.712584
65,40.342322,41.154847,2.631241,2.729565
66,57.199102,58.214977,3.730688,3.861066
67,36.088063,43.457285,2.353766,2.882273
68,35.566639,42.722747,2.319757,2.833555
69,42.419682,39.271247,2.766732,2.604637
70,59.652691,42.661724,3.890718,2.829508
71,32.624629,57.407148,2.127871,3.807487
72,55.80217,34.255469,3.639576,2.271969
73,65.499187,61.294612,4.272043,4.065321
74,45.54671,30.513928,2.970686,2.023814
75,61.005369,65.037695,3.978944,4.313578
76,58.199391,63.378857,3.79593,4.203557
77,63.119318,62.926206,4.116821,4.173535
78,55.317083,35.880194,3.607937,2.379728
79,45.609472,52.896561,2.974779,3.508326
80,45.631416,37.259021,2.976211,2.471178
81,46.748186,31.67028,3.04905,2.100508
82,68.283524,47.165555,4.453646,3.128221
83,61.967147,50.882397,4.041674,3.374738
84,48.961046,41.779754,3.193379,2.771012
85,45.378564,49.385571,2.959719,3.275462
86,50.841169,52.588659,3.316006,3.487905
87,52.565956,40.890349,3.428501,2.712023
88,39.134931,65.911719,2.552492,4.371547
89,48.991764,46.576693,3.195382,3.089165
90,58.052009,63.555682,3.786317,4.215285
91,41.371226,45.450122,2.698349,3.014446
92,64.351401,43.705265,4.197181,2.89872
93,35.022268,46.589497,2.284252,3.090015
94,48.608474,38.916605,3.170383,2.581116
95,42.648649,55.467645,2.781666,3.678851
96,57.584951,67.894621,3.755854,4.503062
97,49.08107,36.023624,3.201207,2.389241
98,51.426592,59.985361,3.354189,3.978486
99,62.315517,54.700499,4.064395,3.627971
